air-force,clune-arena
oklahoma-state,gallagher-iba-arena
old-dominion,constant-convocation-center
mississippi,smith-coliseum
oral-roberts,mabee-center
oregon,matthew-knight-arena
oregon-state,gill-coliseum
pacific,spanos-center
penn-state,bryce-jordan-center
pennsylvania,the-palestra
pepperdine,firestone-fieldhouse
pittsburgh,petersen-events-center
portland,chiles-center
portland-state,stott-center
prairie-view-am,william-nicks-center
presbyterian,ross-e-templeton-p-e-center
princeton,jadwin-gymnasium
providence,dunkin-donuts-center
purdue,mackey-arena
quinnipiac,td-bank-sports-center
radford,dedmon-center
rhode-island,ryan-center
rice,autry-court
richmond,robins-center
rider,alumni-gymnasium
robert-morris,charles-l-sewall-center
rutgers,louis-brown-athletic-center
sacramento-state,hornets-nest
sacred-heart,william-pitt-center
saint-louis,chaifetz-arena
saint-marys,mckeon-pavilion
sam-houston-state,johnson-coliseum
samford,pete-hanna-center
san-diego,jenny-craig-pavilion
san-diego-state,cox-arena
san-francisco,war-memorial-gymnasium
san-jose-state,event-center
santa-clara,leavey-center
savannah-state,tiger-arena
seattle,2-key-arena
seton-hall,prudential-center
siena,times-union-center
siu-edwardsville,vadalabene-center
south-alabama,mitchell-center
south-carolina,colonial-center
south-carolina-state,scsu-gymnasium
south-dakota,dakotadome
south-dakota-state,frost-arena
south-florida,sun-dome
southeast-missouri-state,show-me-center
southeastern-louisiana,university-center-la
southern-illinois,siu-arena
southern-methodist,moody-coliseum
southern-miss,reed-green-coliseum
southern-university,f-g-clark-center
southern-utah,centrum-arena
st-bonaventure,reilly-center
st-francis-ny,pope-physical-education-center
st-francis-pa,degol-arena
st-johns,madison-square-garden
st-josephs-pa,alumni-memorial-fieldhouse
st-peters,yanitelli-arena
stanford,maples-pavilion
stephen-f-austin,william-r-johnson-coliseum
stetson,edmunds-center
stony-brook,pritchard-gymnasium
syracuse,carrier-dome
texas-christian,daniel-meyer-coliseum
temple,liacouras-center
tennessee,thompson-boling-arena
tennessee-state,gentry-center
tennessee-tech,eblen-center
tennessee-martin,skyhawk-center
texas,frank-c-erwin-jr-special-events-center
texas-am,reed-arena
texas-am-corpus-christi,american-bank-center
texas-southern,health-pe-arena
texas-state,strahan-coliseum
texas-tech,united-spirit-arena
texas-arlington,college-park-center
texas-el-paso,don-haskins-center
texas-pan-american,utpa-fieldhouse
texas-san-antonio,utsa-convocation-center
toledo,savage-hall
towson,towson-center
troy,trojan-arena
tulane,devlin-fieldhouse
tulsa,reynolds-center
uab,bartow-arena
california-davis,davis-pavilion
california-irvine,bren-events-center
california-riverside,student-recreation-center
california-santa-barbara,the-thunderdome
central-florida,ucf-arena
ucla,pauley-pavilion
illinois-chicago,uic-pavilion
unlv,thomas-mack-center
southern-california,galen-center
usc-upstate,g-b-hodge-center
utah,jon-m-huntsman-center
utah-state,dee-glen-smith-spectrum
utah-valley-state,uccu-center
valparaiso,athletics-recreation-center
vanderbilt,memorial-gym-tn
vermont,patrick-gym
villanova,the-pavilion
virginia,john-paul-jones-arena
virginia-commonwealth,stuart-siegel-center
virginia-military-institute,cameron-hall
virginia-tech,cassell-coliseum
wagner,spiro-sports-center
wake-forest,lawrence-joel-coliseum
washington,alaska-airlines-arena
washington-state,friel-court
weber-state,dee-events-center
west-virginia,wvu-coliseum
western-carolina,ramsey-center
western-illinois,western-hall
western-kentucky,e-a-diddle-arena
western-michigan,university-arena-mi
wichita-state,charles-koch-arena
william-mary,william-mary-hall
winthrop,winthrop-coliseum
wisconsin,kohl-center
wofford,benjamin-johnson-arena
wright-state,nutter-center
wyoming,arena-auditorium
xavier,cintas-center
yale,2-john-j-lee-amphitheater
