abilene-christian,NULL
air-force,29,13,16,44.8,1839.0,63.4,45.3,97.1,616,1383,44.5,362,537,67.4,192,569,33.7,51.5,54.5,38.8,47.5,20.3,32.3,0.97,1786,61.6,44.6,835,28.8,20.4,178,6.1,68.7,657,22.7,68,2.3,65.4,403,13.9,1.09,10.5,194,6.7,20.2,371,12.8,6.1,90,3.1,491,16.9,8
akron,34,22,12,64.7,2312.0,68.0,53.7,106.2,868,1879,46.2,513,741,69.2,207,560,37.0,51.7,55.0,39.4,53.8,20.9,25.3,1.06,2456,72.2,51.2,1213,35.7,35.2,398,11.7,67.1,815,24.0,115,3.4,54.7,475,14.0,0.99,10.7,247,7.3,20.8,480,14.1,7.3,141,4.1,616,18.1,10
alabama,33,21,12,63.6,2090.0,63.3,52.7,102.2,778,1722,45.2,443,623,71.1,136,470,28.9,49.1,52.9,36.2,60.1,20.7,19.1,1.02,2135,64.7,51.0,1158,35.1,33.5,352,10.7,68.4,806,24.4,92,2.8,51.7,402,12.2,0.95,11.4,239,7.2,20.3,424,12.8,8.0,137,4.2,607,18.4,10
alabama-am,28,7,21,25.0,1941.0,69.3,47.2,90.9,629,1538,40.9,359,555,64.7,147,469,31.3,45.7,49.0,36.1,54.6,20.4,25.0,0.91,1764,63.0,49.1,966,34.5,31.1,316,11.3,67.1,650,23.2,117,4.2,49.9,314,11.2,0.68,9.2,178,6.4,23.8,462,16.5,8.0,119,4.2,617,22.0,13
alabama-state,31,12,19,38.7,2075.0,66.9,47.9,88.7,648,1714,37.8,354,606,58.4,190,621,30.6,43.3,46.0,35.4,49.8,19.2,31.0,0.89,1840,59.4,50.1,1102,35.5,33.0,399,12.9,67.1,703,22.7,119,3.8,55.1,357,11.5,0.76,11.4,236,7.6,22.7,470,15.2,5.8,95,3.1,614,19.8,15
albany,34,19,15,55.9,2242.0,65.9,53.6,109.4,842,1889,44.6,524,694,75.5,245,673,36.4,51.1,55.3,36.7,48.7,21.4,30.0,1.09,2453,72.1,51.4,1174,34.5,35.2,400,11.8,67.6,774,22.8,102,3.0,50.4,424,12.5,0.99,8.6,193,5.7,19.1,429,12.6,5.0,95,2.8,578,17.0,9
alcorn-state,33,11,22,33.3,2143.0,69.1,45.6,97.0,689,1669,41.3,420,606,69.3,128,421,30.4,45.1,53.1,36.3,54.0,20.2,18.5,0.97,2078,63.0,45.2,959,29.1,28.0,290,8.8,62.4,669,20.3,87,2.6,42.1,290,8.8,0.61,9.3,199,6.0,22.3,477,14.5,6.0,104,3.2,606,18.4,26
american-university,32,20,12,62.5,2019.0,63.1,48.9,102.0,713,1678,42.5,406,567,71.6,227,576,39.4,49.3,52.9,33.8,47.2,19.7,33.1,1.02,2059,64.3,48.3,1044,32.6,27.1,281,8.8,69.6,763,23.8,96,3.0,56.7,404,12.6,1.14,7.2,146,4.6,17.6,355,11.1,5.3,92,2.9,544,17.0,6
appalachian-state,31,13,18,41.9,2115.0,68.2,50.5,100.3,746,1693,44.1,426,656,64.9,203,591,34.3,50.1,52.9,38.7,51.2,20.1,28.7,1.0,2121,68.4,49.5,1093,35.3,31.0,333,10.7,68.0,760,24.5,84,2.7,50.8,379,12.2,0.85,8.8,187,6.0,21.0,444,14.3,7.0,125,4.0,609,19.6,19
arizona,35,23,12,65.7,2295.0,65.6,50.9,105.3,795,1812,43.9,568,806,70.5,258,683,37.8,51.0,55.0,44.5,44.5,23.5,32.0,1.05,2416,69.0,50.3,1237,35.3,30.6,349,10.0,70.0,888,25.4,107,3.1,59.5,473,13.5,1.08,8.5,195,5.6,19.0,436,12.5,6.2,122,3.5,588,16.8,11
arizona-state,31,10,21,32.3,1964.0,63.4,47.1,96.3,654,1439,45.4,402,594,67.7,181,497,36.4,51.7,54.9,41.3,50.0,21.3,28.7,0.96,1891,61.0,49.7,975,31.5,29.6,262,8.5,69.9,713,23.0,77,2.5,57.6,377,12.2,0.75,8.8,173,5.6,25.7,505,16.3,7.6,123,4.0,548,17.7,13
arkansas,32,18,14,56.2,2245.0,70.2,51.5,102.4,808,1860,43.4,478,692,69.1,205,580,35.3,49.0,52.5,37.2,52.5,20.8,26.8,1.02,2299,71.8,47.4,1082,33.8,31.5,363,11.3,63.3,719,22.5,111,3.5,53.6,433,13.5,1.04,11.8,265,8.3,18.5,415,13.0,8.7,159,5.0,618,19.3,12
arkansas-state,34,14,20,41.2,2196.0,64.6,51.9,100.1,765,1771,43.2,492,737,66.8,176,476,37.0,48.2,51.8,41.6,53.6,22.4,24.0,1.0,2198,64.6,52.3,1154,33.9,34.6,392,11.5,70.0,762,22.4,124,3.6,43.0,329,9.7,0.72,9.6,210,6.2,20.9,460,13.5,4.2,78,2.3,533,15.7,10
arkansas-little-rock,31,15,16,48.4,2053.0,66.2,47.7,96.2,672,1655,40.6,469,672,69.8,161,492,32.7,45.5,50.0,40.6,51.8,23.8,24.5,0.96,1974,63.7,48.4,1032,33.3,27.8,302,9.7,69.1,730,23.5,104,3.4,48.2,324,10.5,0.84,9.6,198,6.4,18.9,387,12.5,5.9,94,3.0,609,19.6,10
arkansas-pine-bluff,33,11,22,33.3,2195.0,66.5,48.6,91.7,705,1707,41.3,458,719,63.7,145,484,30.0,45.5,49.1,42.1,55.6,22.8,21.6,0.92,2013,61.0,48.2,1105,33.5,31.5,364,11.0,64.8,741,22.5,102,3.1,52.1,367,11.1,0.75,10.5,230,7.0,22.4,491,14.9,7.4,132,4.0,601,18.2,16
army,30,12,18,40.0,2109.0,70.3,44.6,96.1,678,1608,42.2,433,596,72.7,238,671,35.5,49.6,53.6,37.1,43.4,21.4,35.2,0.96,2027,67.6,47.0,957,31.9,24.3,247,8.2,69.8,710,23.7,97,3.2,59.4,403,13.4,0.86,8.8,185,6.2,22.1,467,15.6,3.3,54,1.8,581,19.4,17
auburn,31,15,16,48.4,2037.0,65.7,49.5,95.3,696,1669,41.7,394,608,64.8,156,517,30.2,46.4,49.6,36.4,55.6,20.3,24.1,0.95,1942,62.6,49.3,1063,34.3,31.4,338,10.9,67.1,725,23.4,78,2.5,55.5,386,12.5,0.92,9.8,199,6.4,20.6,420,13.5,9.0,149,4.8,573,18.5,10
austin-peay,32,12,20,37.5,2199.0,68.7,52.5,100.8,792,1781,44.5,493,735,67.1,139,433,32.1,48.4,52.0,41.3,58.9,22.2,18.8,1.01,2216,69.2,49.1,1077,33.7,34.4,388,12.1,63.9,689,21.5,95,3.0,49.0,388,12.1,0.83,10.5,230,7.2,21.2,466,14.6,6.4,115,3.6,574,17.9,18
ball-state,30,15,15,50.0,1874.0,62.5,51.1,101.4,647,1536,42.1,416,604,68.9,191,581,32.9,48.3,52.1,39.3,48.0,21.9,30.1,1.01,1901,63.4,50.7,1015,33.8,34.4,336,11.2,67.0,679,22.6,74,2.5,61.8,400,13.3,1.03,9.7,182,6.1,20.7,388,12.9,5.1,79,2.6,501,16.7,3
baylor,38,30,8,78.9,2558.0,67.3,55.2,111.0,1004,2148,46.7,572,759,75.4,259,676,38.3,52.8,56.6,35.3,52.5,20.1,27.4,1.11,2839,74.7,53.2,1385,36.4,38.4,470,12.4,68.1,915,24.1,105,2.8,56.8,570,15.0,1.09,11.2,286,7.5,20.4,522,13.7,8.4,178,4.7,674,17.7,10
belmont,35,27,8,77.1,2420.0,69.1,55.9,117.0,975,2026,48.1,572,779,73.4,309,817,37.8,55.8,59.1,38.5,47.1,20.2,32.7,1.17,2831,80.9,51.2,1252,35.8,34.4,399,11.4,68.0,853,24.4,101,2.9,62.2,606,17.3,1.41,10.5,255,7.3,17.8,430,12.3,3.9,78,2.2,631,18.0,9
bethune-cookman,35,18,17,51.4,2279.0,65.1,52.1,99.9,818,1890,43.3,462,702,65.8,178,522,34.1,48.0,51.2,37.1,56.2,20.3,23.5,1.0,2276,65.0,48.9,1083,30.9,34.6,413,11.8,63.3,670,19.1,109,3.1,50.9,416,11.9,0.88,10.6,241,6.9,20.7,471,13.5,5.4,95,2.7,663,18.9,12
binghamton,31,2,29,6.5,2027.0,65.4,44.3,86.9,627,1579,39.7,376,538,69.9,132,437,30.2,43.9,48.0,34.1,56.2,21.3,22.5,0.87,1762,56.8,48.0,952,30.7,26.8,278,9.0,69.3,674,21.7,120,3.9,55.2,346,11.2,0.75,9.2,187,6.0,22.8,462,14.9,4.1,67,2.2,554,17.9,11
boise-state,30,13,17,43.3,1964.0,65.5,51.3,104.4,708,1653,42.8,407,589,69.1,227,664,34.2,49.7,53.0,35.6,46.9,19.9,33.2,1.04,2050,68.3,53.4,1007,33.6,32.2,328,10.9,74.6,679,22.6,90,3.0,48.9,346,11.5,0.95,9.3,183,6.1,18.6,366,12.2,3.7,56,1.9,544,18.1,9
boston-college,31,9,22,29.0,2031.0,65.5,42.6,90.3,629,1543,40.8,350,520,67.3,225,664,33.9,48.1,51.2,33.7,44.1,19.1,36.8,0.9,1833,59.1,44.9,924,29.8,22.4,222,7.2,67.3,702,22.6,88,2.8,56.3,354,11.4,0.78,7.5,153,4.9,22.4,454,14.6,5.0,89,2.9,491,15.8,5
boston-university,32,16,16,50.0,2068.0,64.6,50.0,98.9,725,1717,42.2,393,583,67.4,202,634,31.9,48.1,51.3,34.0,51.1,19.2,29.6,0.99,2045,63.9,50.0,1107,34.6,32.1,351,11.0,67.9,756,23.6,95,3.0,51.2,371,11.6,0.85,9.0,187,5.8,21.0,434,13.6,5.6,98,3.1,537,16.8,10
bowling-green,32,16,16,50.0,2081.0,65.0,53.4,102.1,823,1795,45.8,323,474,68.1,156,461,33.8,50.2,52.6,26.4,62.8,15.2,22.0,1.02,2125,66.4,50.9,1070,33.4,34.1,363,11.3,67.7,707,22.1,86,2.7,53.2,438,13.7,1.03,11.9,247,7.7,20.4,425,13.3,6.2,103,3.2,538,16.8,8
bradley,32,7,25,21.9,2154.0,67.3,45.9,90.8,689,1720,40.1,426,625,68.2,151,503,30.0,44.4,48.5,36.3,55.0,21.8,23.2,0.91,1955,61.1,47.5,1054,32.9,26.3,302,9.4,68.6,752,23.5,69,2.2,49.8,343,10.7,0.78,9.5,204,6.4,20.3,438,13.7,5.5,99,3.1,550,17.2,11
brigham-young,35,26,9,74.3,2555.0,73.0,52.8,106.7,977,2099,46.5,540,771,70.0,233,679,34.3,52.1,55.3,36.7,54.6,19.8,25.6,1.07,2727,77.9,52.0,1347,38.5,30.6,381,10.9,73.5,966,27.6,124,3.5,61.3,599,17.1,1.27,11.6,296,8.5,18.5,473,13.5,7.6,154,4.4,637,18.2,15
