@relation training_data

@attribute 'Total Games' numeric
@attribute Wins numeric
@attribute Losses numeric
@attribute 'Winning Pct' numeric
@attribute Possessions numeric
@attribute 'Possessions Per 40 minutes' numeric
@attribute 'Floor Pct' numeric
@attribute Efficiency numeric
@attribute 'Field Goals Made' numeric
@attribute 'Field Goal Attempts' numeric
@attribute 'Field Goal Pct' numeric
@attribute 'Free Throws Made' numeric
@attribute 'Free Throw Attempts' numeric
@attribute 'Free Throw Pct' numeric
@attribute '3-pt Field Goals Made' numeric
@attribute '3-pt Field Goal Attempts' numeric
@attribute '3-pt Field Goal Pct' numeric
@attribute 'Effective Field Goal Pct' numeric
@attribute 'True Shooting Pct' numeric
@attribute 'Free Throw Rate' numeric
@attribute 'Field Goal Point Pct' numeric
@attribute 'Free Throw Point Pct' numeric
@attribute '3-pt Field Goal Point Pct' numeric
@attribute 'Points Per Possessions' numeric
@attribute Points numeric
@attribute 'Points Per Game' numeric
@attribute 'Rebound Pct' numeric
@attribute 'Total Rebounds' numeric
@attribute 'Total Rebounds Per Game' numeric
@attribute 'Offensive Reb Pct' numeric
@attribute 'Offensive Rebounds' numeric
@attribute 'Offensive Rebounds Per Game' numeric
@attribute 'Defensive Reb Pct' numeric
@attribute 'Defensive Rebounds' numeric
@attribute 'Defensive Rebounds Per Game' numeric
@attribute 'Team Rebounds' numeric
@attribute 'Team Rebounds Per Game' numeric
@attribute 'Assist Pct' numeric
@attribute Assists numeric
@attribute 'Assists Per Game' numeric
@attribute 'Assist to Turnover' numeric
@attribute 'Steal Pct' numeric
@attribute Steals numeric
@attribute 'Steals Per Game' numeric
@attribute 'Turnover Pct' numeric
@attribute Turnovers numeric
@attribute 'Turnovers Per Game' numeric
@attribute 'Block Pct' numeric
@attribute Blocks numeric
@attribute 'Blocks Per Game' numeric
@attribute Fouls numeric
@attribute 'Fouls Per Game' numeric
@attribute Disqualifications numeric
@attribute Outcome {L,W}

@data
-2,-10,8,-32.7,-223,-3.1,-7.3,-15.9,-242,-245,-9.1,-22,-12,-2.2,-18,-36,-1.3,-8.8,-7.2,5.8,-9.8,5.2,4.7,-0.16,-524,-13.9,0,-127,-2.2,-0.3,-8,0.4,0.4,-119,-2.6,1,0.3,-1.1,-126,-3.7,-0.38,-0.1,-22,-0.3,3.3,18,1.6,-1.1,-28,-0.8,-2,1.3,1,W
0,13,-13,48.2,-3,-0.1,7.8,17,142,31,9.2,-22,4,-4,38,-2,7.6,10.3,7.8,-0.7,3.7,-5.1,1.3,0.17,300,11.1,3.3,86,3.2,1.4,-13,-0.5,5.1,99,3.7,-45,-1.6,7.6,120,4.4,0.45,-2,-37,-1.4,-2.7,-49,-1.8,4.3,70,2.6,-110,-4.1,0,W
-1,-2,1,-6.7,154,8.5,2.8,6.1,162,145,7,-75,-96,-1.9,10,-24,3.6,6.7,4.5,-10.4,9.9,-7.5,-2.5,0.07,259,12.3,-3.1,-11,0.8,-4.1,-42,-1.2,-2.2,31,2.1,-23,-0.7,5.9,119,4.9,0.31,0.6,25,1.2,-1.7,0,0.6,-0.2,3,0.2,22,1.6,9,W
0,1,-1,3.7,58,2.1,0.6,1.3,3,-23,0.8,93,147,-1.5,-24,-66,-0.6,0.1,0.9,11.1,1.3,4.8,-6,0.01,75,2.8,-2.1,-70,-2.6,1.5,14,0.5,-5.6,-84,-3.1,16,0.6,-0.6,-2,-0.1,-0.08,2.8,54,2,1.6,40,1.4,-2.8,-38,-1.4,12,0.5,-12,W
0,-2,2,-7.4,43,1.6,-0.2,-2.3,-13,-3,-0.9,48,89,-2.4,-23,-53,-1.2,-1.6,-1.2,6.5,1.3,3,-4.2,-0.03,-1,0,1.6,28,1,0.7,18,0.7,2.5,10,0.4,72,2.6,-9.5,-58,-2.1,-0.2,0.1,6,0.2,0.8,23,0.8,-0.8,-13,-0.5,19,0.7,-6,L
1,13,-12,45.5,104,1.4,8.8,16.3,191,179,7.8,28,10,3.4,-7,-85,4.7,6.9,6,-4.4,10.5,-3.7,-6.9,0.17,403,12.2,6.7,171,5,5.6,46,1.3,7.8,125,3.7,-33,-1.3,2.6,111,3.6,0.38,-0.4,2,-0.1,-3,-33,-1.7,1.6,23,0.7,7,-0.5,5,W
0,7,-7,26,-52,-1.9,5.3,9.9,70,-17,5.6,20,-22,6,-36,-155,3.6,4.3,4.5,-1.1,8.9,-0.7,-8.3,0.1,124,4.6,3.4,54,2,3,-2,-0.1,3.7,56,2.1,-20,-0.7,2.4,48,1.8,0.21,-0.8,-19,-0.7,-1.5,-37,-1.3,1.9,29,1,-50,-1.9,9,W
-2,-7,5,-22.4,-62,0.1,-1.1,-9.9,-105,2,-7.6,37,70,-2,-67,-99,-5.9,-10,-8.3,5,1.7,5.3,-6.9,-0.1,-240,-4.1,1.8,81,5,4.7,74,3.3,-1,7,1.8,55,2.2,-6.3,-91,-2.5,-0.18,0.5,4,0.5,-0.6,-24,0.1,-0.1,-1,0.1,-39,0,-6,L
1,12,-11,42,22,0.8,8.1,18.2,140,36,8.8,70,52,5.2,-1,-104,7.8,8.7,8.3,2.5,6.3,-1,-5.4,0.19,349,10.3,5,97,2.3,3.8,-2,-0.4,6.1,99,2.8,-42,-1.6,6,108,3.5,0.42,1.7,32,0.9,-3,-49,-2.2,5,71,2.4,-9,-1,5,W
-1,-2,1,-6.2,-185,-4.3,-2.7,-2.7,-102,-175,-2.3,-18,-53,2.7,-1,-19,0.9,-1.6,-0.7,1.5,-5.4,2.1,3.4,-0.03,-223,-5.8,-1.4,-80,-1.7,-1.5,-46,-1.3,-1.3,-34,-0.4,15,0.7,-4.4,-77,-2.4,-0.13,-2.4,-64,-2.1,0.4,-33,-0.7,-1.9,-25,-0.8,-144,-4.4,-8,L
0,2,-2,7.4,-43,-1.6,0.2,2.3,13,3,0.9,-48,-89,2.4,23,53,1.2,1.6,1.2,-6.5,-1.3,-3,4.2,0.03,1,0,-1.6,-28,-1,-0.7,-18,-0.7,-2.5,-10,-0.4,-72,-2.6,9.5,58,2.1,0.2,-0.1,-6,-0.2,-0.8,-23,-0.8,0.8,13,0.5,-19,-0.7,6,W
-1,-13,12,-45.5,-104,-1.4,-8.8,-16.3,-191,-179,-7.8,-28,-10,-3.4,7,85,-4.7,-6.9,-6,4.4,-10.5,3.7,6.9,-0.17,-403,-12.2,-6.7,-171,-5,-5.6,-46,-1.3,-7.8,-125,-3.7,33,1.3,-2.6,-111,-3.6,-0.38,0.4,-2,0.1,3,33,1.7,-1.6,-23,-0.7,-7,0.5,-5,L
