AR-Pine Bluff,27,10,17,37.0,1824.0,67.6,47.0,93.0,576,1410,40.9,377,579,65.1,168,489,34.4,46.8,50.4,41.1,48.1,22.2,29.7,0.93,1697,62.9,48.0,818,30.3,29.6,279,10.3,66.3,539,20.0,113,4.2,52.8,304,11.3,0.74,13.6,248,9.2,22.5,410,15.2,4.8,64,2.4,530,19.6,11
Army,27,13,14,48.1,1856.0,68.7,52.0,104.8,691,1573,43.9,359,515,69.7,204,609,33.5,50.4,53.5,32.7,50.1,18.5,31.5,1.05,1945,72.0,49.4,914,33.9,31.8,306,11.3,66.9,608,22.5,95,3.5,54.1,374,13.9,1.08,8.9,165,6.1,18.6,346,12.8,7.3,111,4.1,501,18.6,6
Auburn,25,12,13,48.0,1713.0,68.5,52.6,106.5,620,1392,44.5,444,616,72.1,141,455,31.0,49.6,54.2,44.3,52.5,24.3,23.2,1.07,1825,73.0,49.7,867,34.7,32.0,275,11.0,67.4,592,23.7,74,3.0,47.1,292,11.7,0.95,9.2,157,6.3,18.0,308,12.3,8.2,112,4.5,545,21.8,21
Austin Peay,28,11,17,39.3,2032.0,72.6,51.9,104.3,740,1509,49.0,495,753,65.7,144,421,34.2,53.8,56.8,49.9,56.3,23.4,20.4,1.04,2119,75.7,47.9,927,33.1,29.8,272,9.7,65.9,655,23.4,73,2.6,54.6,404,14.4,0.92,9.5,193,6.9,21.7,440,15.7,8.6,145,5.2,478,17.1,6
Ball State,25,4,21,16.0,1708.0,68.3,48.8,95.7,537,1333,40.3,389,564,69.0,171,527,32.4,46.7,51.0,42.3,44.8,23.8,31.4,0.96,1634,65.4,53.2,915,36.6,35.7,321,12.8,70.6,594,23.8,90,3.6,58.5,314,12.6,0.74,6.8,116,4.6,24.9,425,17.0,4.0,56,2.2,507,20.3,17
Baylor,27,18,9,66.7,1791.0,66.3,58.4,114.4,702,1523,46.1,438,667,65.7,207,518,40.0,52.9,55.7,43.8,48.3,21.4,30.3,1.14,2049,75.9,55.5,1066,39.5,41.5,387,14.3,69.4,679,25.1,97,3.6,60.1,422,15.6,1.23,7.6,136,5.0,19.1,342,12.7,9.9,154,5.7,478,17.7,6
Belmont,29,21,8,72.4,2026.0,69.9,52.9,114.4,791,1582,50.0,476,650,73.2,259,651,39.8,58.2,61.3,41.1,45.9,20.5,33.5,1.14,2317,79.9,46.8,889,30.7,27.9,245,8.4,65.7,644,22.2,73,2.5,56.1,444,15.3,1.17,9.9,201,6.9,18.7,378,13.0,4.3,69,2.4,601,20.7,16
Bethune-Cookman,29,6,23,20.7,1835.0,63.3,50.1,99.9,617,1545,39.9,399,556,71.8,200,555,36.0,46.4,50.7,36.0,45.5,21.8,32.7,1.0,1833,63.2,48.9,908,31.3,33.9,342,11.8,63.9,566,19.5,113,3.9,45.5,281,9.7,0.76,9.3,170,5.9,20.2,371,12.8,5.0,72,2.5,619,21.3,22
Binghamton,27,7,20,25.9,1785.0,66.1,45.4,91.5,529,1392,38.0,414,608,68.1,161,512,31.4,43.8,48.6,43.7,45.1,25.4,29.6,0.91,1633,60.5,47.9,875,32.4,28.9,278,10.3,66.9,597,22.1,122,4.5,48.4,256,9.5,0.66,9.2,165,6.1,21.7,387,14.3,3.8,56,2.1,523,19.4,8
Boise State,27,18,9,66.7,1815.0,67.2,55.7,115.5,726,1570,46.2,429,568,75.5,215,553,38.9,53.1,57.0,36.2,48.8,20.5,30.8,1.15,2096,77.6,54.3,925,34.3,33.8,298,11.0,74.8,627,23.2,68,2.5,45.2,328,12.1,1.23,9.3,169,6.3,14.7,267,9.9,3.8,54,2.0,525,19.4,8
Boston College,27,7,20,25.9,1727.0,64.0,49.5,107.1,603,1354,44.5,428,576,74.3,216,610,35.4,52.5,56.8,42.5,41.8,23.1,35.0,1.07,1850,68.5,46.2,811,30.0,26.5,218,8.1,65.8,593,22.0,83,3.1,57.0,344,12.7,1.12,6.1,105,3.9,17.7,306,11.3,5.2,79,2.9,496,18.4,9
Boston U,29,20,9,69.0,1959.0,67.6,51.2,105.8,730,1651,44.2,376,525,71.6,237,659,36.0,51.4,54.5,31.8,47.6,18.1,34.3,1.06,2073,71.5,49.4,989,34.1,28.9,293,10.1,70.0,696,24.0,119,4.1,54.8,400,13.8,1.15,10.3,201,6.9,17.7,347,12.0,3.3,53,1.8,491,16.9,4
Bowling Green,27,11,16,40.7,1826.0,67.6,49.3,93.6,634,1489,42.6,336,534,62.9,106,355,29.9,46.1,49.1,35.9,61.8,19.6,18.6,0.94,1710,63.3,49.3,954,35.3,30.2,291,10.8,68.4,663,24.6,88,3.3,52.7,334,12.4,0.87,11.9,217,8.0,21.1,386,14.3,10.2,149,5.5,483,17.9,10
Bradley,29,12,17,41.4,1862.0,66.5,51.3,99.3,656,1561,42.0,397,576,68.9,140,439,31.9,46.5,50.4,36.9,55.8,21.5,22.7,0.99,1849,63.8,50.6,979,33.8,32.6,328,11.3,68.5,651,22.4,87,3.0,43.3,284,9.8,0.79,10.8,202,7.0,19.3,359,12.4,5.3,78,2.7,581,20.0,16
BYU,30,20,10,66.7,2263.0,75.4,57.6,113.0,888,1887,47.1,624,913,68.3,157,429,36.6,51.2,55.1,48.4,57.2,24.4,18.4,1.13,2557,85.2,53.2,1237,41.2,34.2,390,13.0,72.1,847,28.2,109,3.6,55.2,490,16.3,1.48,9.6,217,7.2,14.7,332,11.1,5.0,94,3.1,584,19.5,14
Brown,24,14,10,58.3,1675.0,69.8,50.7,101.4,601,1381,43.5,335,509,65.8,162,428,37.9,49.4,52.3,36.9,51.7,19.7,28.6,1.01,1699,70.8,51.2,944,39.3,29.7,262,10.9,72.6,682,28.4,89,3.7,51.7,311,13.0,0.97,8.1,136,5.7,19.1,320,13.3,7.6,105,4.4,480,20.0,13
Bryant University,29,17,12,58.6,2008.0,69.2,52.7,107.4,771,1637,47.1,436,620,70.3,179,548,32.7,52.6,55.8,37.9,54.9,20.2,24.9,1.07,2157,74.4,47.9,1002,34.6,29.2,286,9.9,66.5,716,24.7,121,4.2,49.5,382,13.2,1.04,9.3,187,6.4,18.4,369,12.7,4.9,84,2.9,525,18.1,7
Bucknell,27,14,13,51.9,1713.0,63.4,50.1,104.2,629,1454,43.3,346,457,75.7,181,457,39.6,49.5,53.4,31.4,50.2,19.4,30.4,1.04,1785,66.1,51.2,931,34.5,27.2,238,8.8,75.2,693,25.7,98,3.6,50.9,320,11.9,1.15,6.9,119,4.4,16.2,278,10.3,2.8,41,1.5,458,17.0,8
Buffalo,24,16,8,66.7,1635.0,68.1,54.5,107.8,600,1345,44.6,416,578,72.0,146,449,32.5,50.0,54.4,43.0,51.5,23.6,24.9,1.08,1762,73.4,52.1,900,37.5,36.1,302,12.6,68.1,598,24.9,85,3.5,59.7,358,14.9,1.15,10.0,163,6.8,19.0,311,13.0,8.6,117,4.9,448,18.7,8
Butler,27,12,15,44.4,1796.0,66.5,52.9,104.5,666,1548,43.0,387,576,67.2,158,485,32.6,48.1,51.5,37.2,54.1,20.6,25.3,1.05,1877,69.5,51.2,926,34.3,30.5,296,11.0,71.8,630,23.3,74,2.7,45.2,301,11.1,1.11,9.0,161,6.0,15.1,272,10.1,5.1,76,2.8,464,17.2,9
Cal Poly,26,10,16,38.5,1599.0,61.5,52.2,103.6,586,1421,41.2,310,454,68.3,174,515,33.8,47.4,50.6,31.9,49.8,18.7,31.5,1.04,1656,63.7,50.1,841,32.3,31.2,282,10.8,69.0,559,21.5,78,3.0,51.7,303,11.7,1.25,9.8,156,6.0,15.1,242,9.3,5.8,75,2.9,487,18.7,4
CSU Bakersfield,27,12,15,44.4,1809.0,67.0,52.5,105.6,658,1472,44.7,400,582,68.7,195,491,39.7,51.3,54.6,39.5,48.5,20.9,30.6,1.06,1911,70.8,51.5,930,34.4,34.1,310,11.5,68.8,620,23.0,88,3.3,51.1,336,12.4,0.9,10.0,181,6.7,20.6,373,13.8,6.9,95,3.5,603,22.3,15
CS Fullerton,26,9,17,34.6,1748.0,67.2,50.1,100.1,612,1443,42.4,369,550,67.1,156,477,32.7,47.8,51.3,38.1,52.1,21.1,26.8,1.0,1749,67.3,50.4,891,34.3,28.9,270,10.4,71.9,621,23.9,96,3.7,47.2,289,11.1,0.91,7.0,122,4.7,18.2,318,12.2,3.6,50,1.9,506,19.5,10
CS Northridge,29,14,15,48.3,2028.0,69.9,53.0,107.7,725,1607,45.1,610,782,78.0,124,335,37.0,49.0,55.2,48.7,55.0,27.9,17.0,1.08,2184,75.3,51.2,1027,35.4,33.6,322,11.1,68.7,705,24.3,74,2.6,54.3,394,13.6,1.07,10.3,209,7.2,18.1,368,12.7,4.8,80,2.8,589,20.3,12
California,27,18,9,66.7,1837.0,68.0,55.2,109.7,728,1583,46.0,406,592,68.6,154,436,35.3,50.9,54.1,37.4,56.9,20.1,22.9,1.1,2016,74.7,51.7,998,37.0,31.9,298,11.0,71.4,700,25.9,80,3.0,57.7,420,15.6,1.52,8.4,155,5.7,15.0,276,10.2,7.7,120,4.4,477,17.7,10
Campbell,29,12,17,41.4,1886.0,65.0,51.4,104.0,698,1589,43.9,321,474,67.7,245,722,33.9,51.6,54.1,29.8,46.2,16.4,37.5,1.04,1962,67.7,48.0,952,32.8,32.1,317,10.9,63.8,635,21.9,84,2.9,59.6,416,14.3,1.08,9.6,181,6.2,20.5,386,13.3,8.3,136,4.7,518,17.9,6
Canisius,29,19,10,65.5,2029.0,70.0,54.1,112.2,778,1702,45.7,493,668,73.8,227,589,38.5,52.4,56.4,39.2,48.4,21.7,29.9,1.12,2276,78.5,47.1,968,33.4,31.9,323,11.1,62.3,645,22.2,104,3.6,46.9,365,12.6,1.1,9.7,196,6.8,16.4,332,11.4,6.5,112,3.9,527,18.2,16
Cent Arkansas,25,6,19,24.0,1862.0,74.5,50.5,99.1,669,1521,44.0,342,566,60.4,166,459,36.2,49.4,51.6,37.2,54.5,18.5,27.0,0.99,1846,73.8,45.6,842,33.7,29.0,282,11.3,62.2,560,22.4,80,3.2,46.9,314,12.6,0.87,11.7,218,8.7,19.5,363,14.5,7.7,114,4.6,551,22.0,12
Cent Conn St,27,9,18,33.3,1915.0,70.9,50.1,99.2,708,1615,43.8,337,475,70.9,146,442,33.0,48.4,51.6,29.4,59.2,17.7,23.1,0.99,1899,70.3,46.8,921,34.1,29.6,290,10.7,64.0,631,23.4,101,3.7,49.2,348,12.9,0.92,9.8,188,7.0,19.7,377,14.0,7.8,128,4.7,496,18.4,13
