TEAM,URL,CONFERENCE
George Washington,http://statsheet.com/mcb/teams/george-washington,A-10
Georgetown,http://statsheet.com/mcb/teams/georgetown,Big East
Georgia,http://statsheet.com/mcb/teams/georgia,SEC
Georgia Southern,http://statsheet.com/mcb/teams/georgia-southern,SoCon
Georgia State,http://statsheet.com/mcb/teams/georgia-state,Sun Belt
Georgia Tech,http://statsheet.com/mcb/teams/georgia-tech,ACC
Gonzaga,http://statsheet.com/mcb/teams/gonzaga,West Coast
Grambling State,http://statsheet.com/mcb/teams/grambling-state,SWAC
Grand Canyon,http://statsheet.com/mcb/teams/grand-canyon,WAC
Green Bay,http://statsheet.com/mcb/teams/wisconsin-green-bay,Horizon
Hampton,http://statsheet.com/mcb/teams/hampton,MEAC
Hartford,http://statsheet.com/mcb/teams/hartford,America East
Harvard,http://statsheet.com/mcb/teams/harvard,Ivy League
Hawaii,http://statsheet.com/mcb/teams/hawaii,Big West
High Point,http://statsheet.com/mcb/teams/high-point,Big South
Hofstra,http://statsheet.com/mcb/teams/hofstra,CAA
Holy Cross,http://statsheet.com/mcb/teams/holy-cross,Patriot
Houston,http://statsheet.com/mcb/teams/houston,American Athletic
Houston Baptist,http://statsheet.com/mcb/teams/houston-baptist,Southland
Howard,http://statsheet.com/mcb/teams/howard,MEAC
Idaho,http://statsheet.com/mcb/teams/idaho,WAC
Idaho State,http://statsheet.com/mcb/teams/idaho-state,Big Sky
Illinois,http://statsheet.com/mcb/teams/illinois,Big Ten
Illinois State,http://statsheet.com/mcb/teams/illinois-state,Missouri Valley
Incarnate Word,http://statsheet.com/mcb/teams/incarnate-word,Southland
Indiana,http://statsheet.com/mcb/teams/indiana,Big Ten
Indiana State,http://statsheet.com/mcb/teams/indiana-state,Missouri Valley
Iona,http://statsheet.com/mcb/teams/iona,MAAC
Iowa,http://statsheet.com/mcb/teams/iowa,Big Ten
Iowa State,http://statsheet.com/mcb/teams/iowa-state,Big 12
IPFW,http://statsheet.com/mcb/teams/iupu-fort-wayne,Summit League
IUPUI,http://statsheet.com/mcb/teams/iupui,Summit League
Jackson State,http://statsheet.com/mcb/teams/jackson-state,SWAC
Jacksonville,http://statsheet.com/mcb/teams/jacksonville,Atlantic Sun
Jacksonville State,http://statsheet.com/mcb/teams/jacksonville-state,Ohio Valley
James Madison,http://statsheet.com/mcb/teams/james-madison,CAA
Kansas,http://statsheet.com/mcb/teams/kansas,Big 12
Kansas State,http://statsheet.com/mcb/teams/kansas-state,Big 12
Kennesaw State,http://statsheet.com/mcb/teams/kennesaw-state,Atlantic Sun
Kent State,http://statsheet.com/mcb/teams/kent-state,MAC
Kentucky,http://statsheet.com/mcb/teams/kentucky,SEC
La Salle,http://statsheet.com/mcb/teams/la-salle,A-10
Lafayette,http://statsheet.com/mcb/teams/lafayette,Patriot
Lamar,http://statsheet.com/mcb/teams/lamar,Southland
Lehigh,http://statsheet.com/mcb/teams/lehigh,Patriot
Liberty,http://statsheet.com/mcb/teams/liberty,Big South
Lipscomb,http://statsheet.com/mcb/teams/lipscomb,Atlantic Sun
Long Beach State,http://statsheet.com/mcb/teams/long-beach-state,Big West
Long Island,http://statsheet.com/mcb/teams/long-island,NEC
Longwood,http://statsheet.com/mcb/teams/longwood,Big South
Louisiana,http://statsheet.com/mcb/teams/louisiana-lafayette,Sun Belt
Louisiana Tech,http://statsheet.com/mcb/teams/louisiana-tech,Conference USA
Louisiana-Monroe,http://statsheet.com/mcb/teams/louisiana-monroe,Sun Belt
Louisville,http://statsheet.com/mcb/teams/louisville,American Athletic
Loyola (Chicago),http://statsheet.com/mcb/teams/loyola-il,Missouri Valley
Loyola (MD),http://statsheet.com/mcb/teams/loyola-md,Patriot
Loyola Marymount,http://statsheet.com/mcb/teams/loyola-marymount,West Coast
LSU,http://statsheet.com/mcb/teams/lsu,SEC
Maine,http://statsheet.com/mcb/teams/maine,America East
Manhattan,http://statsheet.com/mcb/teams/manhattan,MAAC
Marist,http://statsheet.com/mcb/teams/marist,MAAC
Marquette,http://statsheet.com/mcb/teams/marquette,Big East
Marshall,http://statsheet.com/mcb/teams/marshall,Conference USA
Maryland,http://statsheet.com/mcb/teams/maryland,ACC
Maryland-Baltimore County,http://statsheet.com/mcb/teams/maryland-baltimore-county,America East
Maryland-Eastern Shore,http://statsheet.com/mcb/teams/maryland-eastern-shore,MEAC
Massachusetts,http://statsheet.com/mcb/teams/massachusetts,A-10
McNeese State,http://statsheet.com/mcb/teams/mcneese-state,Southland
Memphis,http://statsheet.com/mcb/teams/memphis,American Athletic
Mercer,http://statsheet.com/mcb/teams/mercer,Atlantic Sun
Miami (FL),http://statsheet.com/mcb/teams/miami-fl,ACC
Miami (OH),http://statsheet.com/mcb/teams/miami-oh,MAC
Michigan,http://statsheet.com/mcb/teams/michigan,Big Ten
Michigan State,http://statsheet.com/mcb/teams/michigan-state,Big Ten
Middle Tennessee State,http://statsheet.com/mcb/teams/middle-tennessee-state,Conference USA
Milwaukee,http://statsheet.com/mcb/teams/wisconsin-milwaukee,Horizon
Minnesota,http://statsheet.com/mcb/teams/minnesota,Big Ten
Mississippi State,http://statsheet.com/mcb/teams/mississippi-state,SEC
Mississippi Valley State,http://statsheet.com/mcb/teams/mississippi-valley-state,SWAC
Missouri,http://statsheet.com/mcb/teams/missouri,SEC
Missouri State,http://statsheet.com/mcb/teams/missouri-state,Missouri Valley
Missouri-Kansas City,http://statsheet.com/mcb/teams/missouri-kansas-city,WAC
Monmouth,http://statsheet.com/mcb/teams/monmouth,MAAC
Montana,http://statsheet.com/mcb/teams/montana,Big Sky
Montana State,http://statsheet.com/mcb/teams/montana-state,Big Sky
Morehead State,http://statsheet.com/mcb/teams/morehead-state,Ohio Valley
Morgan State,http://statsheet.com/mcb/teams/morgan-state,MEAC
Mount St. Mary's,http://statsheet.com/mcb/teams/mount-st-marys,NEC
Murray State,http://statsheet.com/mcb/teams/murray-state,Ohio Valley
Navy,http://statsheet.com/mcb/teams/navy,Patriot
NC State,http://statsheet.com/mcb/teams/north-carolina-state,ACC
Nebraska,http://statsheet.com/mcb/teams/nebraska,Big Ten
Nebraska-Omaha,http://statsheet.com/mcb/teams/nebraska-omaha,Summit League
Nevada,http://statsheet.com/mcb/teams/nevada,Mountain West
New Hampshire,http://statsheet.com/mcb/teams/new-hampshire,America East
New Jersey Tech,http://statsheet.com/mcb/teams/new-jersey-tech,Independents
New Mexico,http://statsheet.com/mcb/teams/new-mexico,Mountain West
New Mexico State,http://statsheet.com/mcb/teams/new-mexico-state,WAC
New Orleans,http://statsheet.com/mcb/teams/new-orleans,Southland
Niagara,http://statsheet.com/mcb/teams/niagara,MAAC
Nicholls State,http://statsheet.com/mcb/teams/nicholls-state,Southland
Norfolk State,http://statsheet.com/mcb/teams/norfolk-state,MEAC
North Carolina,http://statsheet.com/mcb/teams/north-carolina,ACC
North Carolina A&T,http://statsheet.com/mcb/teams/north-carolina-at,MEAC
North Carolina Central,http://statsheet.com/mcb/teams/north-carolina-central,MEAC
North Carolina-Asheville,http://statsheet.com/mcb/teams/north-carolina-asheville,Big South
North Carolina-Greensboro,http://statsheet.com/mcb/teams/north-carolina-greensboro,SoCon
North Carolina-Wilmington,http://statsheet.com/mcb/teams/north-carolina-wilmington,CAA
North Dakota,http://statsheet.com/mcb/teams/north-dakota,Big Sky
North Dakota State,http://statsheet.com/mcb/teams/north-dakota-state,Summit League
North Florida,http://statsheet.com/mcb/teams/north-florida,Atlantic Sun
North Texas,http://statsheet.com/mcb/teams/north-texas,Conference USA
Northeastern,http://statsheet.com/mcb/teams/northeastern,CAA
Northern Arizona,http://statsheet.com/mcb/teams/northern-arizona,Big Sky
Northern Colorado,http://statsheet.com/mcb/teams/northern-colorado,Big Sky
Northern Illinois,http://statsheet.com/mcb/teams/northern-illinois,MAC
Northern Iowa,http://statsheet.com/mcb/teams/northern-iowa,Missouri Valley
Northern Kentucky,http://statsheet.com/mcb/teams/northern-kentucky,Atlantic Sun
Northwestern,http://statsheet.com/mcb/teams/northwestern,Big Ten
Northwestern State,http://statsheet.com/mcb/teams/northwestern-state,Southland
Notre Dame,http://statsheet.com/mcb/teams/notre-dame,ACC
Oakland,http://statsheet.com/mcb/teams/oakland,Horizon
Ohio,http://statsheet.com/mcb/teams/ohio,MAC
Ohio State,http://statsheet.com/mcb/teams/ohio-state,Big Ten
Oklahoma,http://statsheet.com/mcb/teams/oklahoma,Big 12
Oklahoma State,http://statsheet.com/mcb/teams/oklahoma-state,Big 12
Old Dominion,http://statsheet.com/mcb/teams/old-dominion,Conference USA
Ole Miss,http://statsheet.com/mcb/teams/mississippi,SEC
Oral Roberts,http://statsheet.com/mcb/teams/oral-roberts,Southland
Oregon,http://statsheet.com/mcb/teams/oregon,Pac-12
Oregon State,http://statsheet.com/mcb/teams/oregon-state,Pac-12
Pacific,http://statsheet.com/mcb/teams/pacific,West Coast
Penn State,http://statsheet.com/mcb/teams/penn-state,Big Ten
Pennsylvania,http://statsheet.com/mcb/teams/pennsylvania,Ivy League
Pepperdine,http://statsheet.com/mcb/teams/pepperdine,West Coast
Pittsburgh,http://statsheet.com/mcb/teams/pittsburgh,ACC
Portland,http://statsheet.com/mcb/teams/portland,West Coast
Portland State,http://statsheet.com/mcb/teams/portland-state,Big Sky
Prairie View A&M,http://statsheet.com/mcb/teams/prairie-view-am,SWAC
Presbyterian,http://statsheet.com/mcb/teams/presbyterian,Big South
Princeton,http://statsheet.com/mcb/teams/princeton,Ivy League
Providence,http://statsheet.com/mcb/teams/providence,Big East
Purdue,http://statsheet.com/mcb/teams/purdue,Big Ten
Quinnipiac,http://statsheet.com/mcb/teams/quinnipiac,MAAC
Radford,http://statsheet.com/mcb/teams/radford,Big South
Rhode Island,http://statsheet.com/mcb/teams/rhode-island,A-10
Rice,http://statsheet.com/mcb/teams/rice,Conference USA
Richmond,http://statsheet.com/mcb/teams/richmond,A-10
Rider,http://statsheet.com/mcb/teams/rider,MAAC
Robert Morris,http://statsheet.com/mcb/teams/robert-morris,NEC
Rutgers,http://statsheet.com/mcb/teams/rutgers,American Athletic
Sacramento State,http://statsheet.com/mcb/teams/sacramento-state,Big Sky
Sacred Heart,http://statsheet.com/mcb/teams/sacred-heart,NEC
Saint Louis,http://statsheet.com/mcb/teams/saint-louis,A-10
Saint Mary's,http://statsheet.com/mcb/teams/saint-marys,West Coast
Sam Houston State,http://statsheet.com/mcb/teams/sam-houston-state,Southland
Samford,http://statsheet.com/mcb/teams/samford,SoCon
San Diego,http://statsheet.com/mcb/teams/san-diego,West Coast
San Diego State,http://statsheet.com/mcb/teams/san-diego-state,Mountain West
San Francisco,http://statsheet.com/mcb/teams/san-francisco,West Coast
San Jose State,http://statsheet.com/mcb/teams/san-jose-state,Mountain West
Santa Clara,http://statsheet.com/mcb/teams/santa-clara,West Coast
Savannah State,http://statsheet.com/mcb/teams/savannah-state,MEAC
Seattle,http://statsheet.com/mcb/teams/seattle,WAC
Seton Hall,http://statsheet.com/mcb/teams/seton-hall,Big East
Siena,http://statsheet.com/mcb/teams/siena,MAAC
SIU Edwardsville,http://statsheet.com/mcb/teams/siu-edwardsville,Ohio Valley
South Alabama,http://statsheet.com/mcb/teams/south-alabama,Sun Belt
South Carolina,http://statsheet.com/mcb/teams/south-carolina,SEC
South Carolina State,http://statsheet.com/mcb/teams/south-carolina-state,MEAC
South Dakota,http://statsheet.com/mcb/teams/south-dakota,Summit League
South Dakota State,http://statsheet.com/mcb/teams/south-dakota-state,Summit League
South Florida,http://statsheet.com/mcb/teams/south-florida,American Athletic
Southeast Missouri State,http://statsheet.com/mcb/teams/southeast-missouri-state,Ohio Valley
