arkansas-pine-bluff,29,12,17,41.4,1961.0,67.6,46.5,93.0,614,1495,41.1,418,635,65.8,178,519,34.3,47.0,50.8,42.5,47.8,22.9,29.3,0.93,1824,62.9,47.9,878,30.3,29.0,288,9.9,66.7,590,20.3,124,4.3,52.8,324,11.2,0.73,13.8,271,9.3,22.7,445,15.3,4.9,70,2.4,570,19.7,13
army,30,15,15,50.0,2062.0,68.7,52.1,105.4,776,1745,44.5,391,560,69.8,231,674,34.3,51.1,54.1,32.1,50.1,18.0,31.9,1.05,2174,72.5,49.2,1007,33.6,31.4,333,11.1,66.9,674,22.5,99,3.3,54.0,419,14.0,1.09,8.9,184,6.1,18.6,384,12.8,7.7,131,4.4,553,18.4,7
auburn,28,13,15,46.4,1913.0,68.3,52.3,105.5,684,1562,43.8,491,686,71.6,160,520,30.8,48.9,53.5,43.9,51.9,24.3,23.8,1.06,2019,72.1,49.5,963,34.4,31.5,309,11.0,67.4,654,23.4,82,2.9,47.8,327,11.7,0.97,9.3,178,6.4,17.7,338,12.1,8.0,121,4.3,605,21.6,21
austin-peay,30,12,18,40.0,2182.0,72.7,52.0,104.8,797,1632,48.8,535,804,66.5,158,459,34.4,53.7,56.8,49.3,55.9,23.4,20.7,1.05,2287,76.2,48.1,998,33.3,30.2,297,9.9,65.9,701,23.4,76,2.5,55.7,444,14.8,0.94,9.4,206,6.9,21.6,471,15.7,8.4,153,5.1,516,17.2,8
ball-state,28,5,23,17.9,1921.0,68.6,49.1,96.1,609,1505,40.5,439,637,68.9,190,593,32.0,46.8,51.1,42.3,45.4,23.8,30.9,0.96,1847,66.0,53.2,1043,37.3,35.7,362,12.9,70.6,681,24.3,101,3.6,58.6,357,12.8,0.76,6.7,128,4.6,24.5,471,16.8,4.3,67,2.4,572,20.4,18
baylor,30,20,10,66.7,1965.0,65.5,58.5,114.6,767,1694,45.3,488,736,66.3,229,590,38.8,52.0,55.1,43.4,47.8,21.7,30.5,1.15,2251,75.0,55.3,1180,39.3,42.0,438,14.6,68.5,742,24.7,108,3.6,59.8,459,15.3,1.26,8.0,157,5.2,18.6,365,12.2,9.7,167,5.6,523,17.4,7
belmont,32,24,8,75.0,2232.0,69.8,53.3,115.3,882,1741,50.7,524,719,72.9,285,714,39.9,58.8,61.8,41.3,46.4,20.4,33.2,1.15,2573,80.4,47.1,985,30.8,27.8,267,8.3,66.4,718,22.4,81,2.5,57.1,504,15.8,1.22,9.8,218,6.8,18.5,414,12.9,4.2,75,2.3,664,20.8,17
bethune-cookman,31,7,24,22.6,1979.0,63.8,49.7,99.2,662,1655,40.0,431,602,71.6,209,584,35.8,46.3,50.6,36.4,46.1,21.9,31.9,0.99,1964,63.4,48.1,974,31.4,33.1,358,11.5,63.1,616,19.9,120,3.9,45.6,302,9.7,0.76,9.8,193,6.2,20.2,399,12.9,5.0,77,2.5,661,21.3,25
binghamton,29,7,22,24.1,1931.0,66.6,45.9,93.1,577,1505,38.3,468,673,69.5,176,549,32.1,44.2,49.3,44.7,44.6,26.0,29.4,0.93,1798,62.0,48.2,939,32.4,29.2,302,10.4,67.1,637,22.0,127,4.4,47.3,273,9.4,0.66,9.3,180,6.2,21.3,412,14.2,3.8,59,2.0,580,20.0,15
boise-state,30,19,11,63.3,2011.0,67.0,55.5,114.6,800,1737,46.1,471,625,75.4,234,614,38.1,52.8,56.7,36.0,49.1,20.4,30.5,1.15,2305,76.8,54.8,1034,34.5,33.8,332,11.1,75.8,702,23.4,77,2.6,44.8,358,11.9,1.19,8.8,177,5.9,15.0,301,10.0,3.4,55,1.8,575,19.2,8
boston-college,30,8,22,26.7,1912.0,63.7,50.1,107.7,671,1498,44.8,480,650,73.8,237,668,35.5,52.7,57.0,43.4,42.2,23.3,34.5,1.08,2059,68.6,46.8,894,29.8,27.5,250,8.3,66.1,644,21.5,90,3.0,56.2,377,12.6,1.1,6.6,126,4.2,17.9,342,11.4,5.1,85,2.8,559,18.6,10
boston-university,32,23,9,71.9,2154.0,67.3,51.4,106.9,818,1809,45.2,404,562,71.9,263,716,36.7,52.5,55.5,31.1,48.2,17.5,34.3,1.07,2303,72.0,49.5,1085,33.9,28.5,309,9.7,70.5,776,24.3,123,3.8,54.2,443,13.8,1.15,10.4,223,7.0,17.9,385,12.0,3.4,61,1.9,540,16.9,4
bowling-green,30,12,18,40.0,2020.0,67.3,49.2,93.6,696,1636,42.5,386,606,63.7,113,388,29.1,46.0,49.1,37.0,61.7,20.4,17.9,0.94,1891,63.0,49.6,1059,35.3,30.4,321,10.7,68.7,738,24.6,100,3.3,51.9,361,12.0,0.84,11.6,234,7.8,21.3,431,14.4,10.4,168,5.6,528,17.6,11
bradley,32,12,20,37.5,2042.0,65.9,51.2,99.7,721,1720,41.9,440,628,70.1,154,479,32.2,46.4,50.4,36.5,55.7,21.6,22.7,1.0,2036,63.6,50.6,1064,33.3,32.3,356,11.1,68.9,708,22.1,94,2.9,42.4,306,9.6,0.8,11.1,226,7.1,18.8,383,12.0,5.2,84,2.6,635,19.8,16
brigham-young,31,21,10,67.7,2331.0,75.2,57.5,113.0,915,1939,47.2,639,935,68.3,166,445,37.3,51.5,55.3,48.2,56.9,24.3,18.9,1.13,2635,85.0,53.2,1271,41.0,34.3,401,12.9,72.0,870,28.1,114,3.7,55.3,506,16.3,1.45,9.7,225,7.3,15.0,349,11.3,5.0,97,3.1,599,19.3,14
brown,27,15,12,55.6,1882.0,69.7,51.1,101.3,679,1568,43.3,371,561,66.1,178,475,37.5,49.0,52.0,35.8,52.5,19.5,28.0,1.01,1907,70.6,51.5,1072,39.7,30.4,303,11.2,72.5,769,28.5,99,3.7,52.7,358,13.3,1.01,8.2,154,5.7,18.8,354,13.1,8.0,125,4.6,536,19.9,15
bryant,32,18,14,56.3,2190.0,68.4,52.5,107.4,840,1788,47.0,470,669,70.3,201,602,33.4,52.6,55.8,37.4,54.4,20.0,25.6,1.07,2351,73.5,47.5,1095,34.2,28.8,308,9.6,66.2,787,24.6,130,4.1,50.0,420,13.1,1.06,9.5,207,6.5,18.1,397,12.4,4.9,93,2.9,568,17.8,9
bucknell,30,16,14,53.3,1910.0,63.7,50.6,103.5,698,1627,42.9,385,516,74.6,196,502,39.0,48.9,52.8,31.7,50.8,19.5,29.7,1.04,1977,65.9,52.3,1067,35.6,29.0,287,9.6,75.6,780,26.0,110,3.7,51.1,357,11.9,1.11,7.2,138,4.6,16.8,321,10.7,3.0,49,1.6,500,16.7,8
