Mount St Mary's,Mount St. Mary's
St Francis (NY),St. Francis (NY)
St Francis (PA),St. Francis (PA)
Tenn St,Tennessee State
Tenn Tech,Tennessee Tech
UT Martin,Tennessee-Martin
Washington St,Washington State
American U,American University
Boston U,Boston University
Mississippi St,Mississippi State
Texas A&M;,Texas A&M
Appalachian St,Appalachian State
The Citadel,Citadel
Ga. Southern,Georgia Southern
Cent Arkansas,Central Arkansas
Northwood University,?
Southwestern,?
Northwestern St,Northwestern State
Sam Houston,Sam Houston State
SE Louisiana,Southeastern Louisiana
SF Austin,Stephen F. Austin
Omaha,Nebraska-Omaha
North Dakota St,North Dakota State
South Dakota St,South Dakota State
AR-Little Rock,Arkansas-Little Rock
LA-Lafayette,Lafayette
UL Monroe,Louisiana-Monroe
TX-Arlington,Texas-Arlington
BYU,Brigham Young
Loyola Mary,Loyola Marymount
CSU Bakersfield,Cal State Bakersfield
New Mexico St,New Mexico State
Seattle U,Seattle
TX-Pan American,Texas-Pan American
UMass Lowell,Massachusetts Lowell
Coast Carolina,Coastal Carolina
UC Santa Barbara,UC-Santa Barbara
CS Fullerton,Cal State Fullerton
CS Northridge,Cal State Northridge
Long Beach St,Long Beach State
E Illinois,Eastern Illinois
E Kentucky,Eastern Kentucky
Jacksonville St,Jacksonville State
SE Missouri St,Southeast Missouri State
Trinity University,?
Huston-Tillotson,?
Texas A&M-CC;,Texas A&M-Corpus Christi
Alabama A&M;,Alabama A&M
AR-Pine Bluff,Arkansas-Pine Bluff
Morehouse College,?
Grambling St,Grambling State
Miss Valley St,Mississippi Valley State
PV A&M;,Prairie View A&M
Southern,?
UMBC,Maryland-Baltimore County
Massachusetts Lowell,UMass-Lowell
Bryant University,Bryant
Louisiana-Lafayette,Louisiana
SMU,Southern Methodist
Illinois-Chicago,UIC
Miami,Miami (FL)
Saint Joseph's,St. Joseph's (PA)
St. Francis U,St. Francis (PA)
N.J.I.T.,New Jersey Tech
G. Washington,George Washington
Loyola,Loyola (MD)
SIU-Edwardsville,SIU Edwardsville
VCU,Virginia Commonwealth
North Carolina State,North Carolina
Charleston,College of Charleston
UNC Greensboro,North Carolina-Greensboro
East Tenn St,East Tennessee State
FGCU,Florida Gulf Coast
Middle Tennessee,Middle Tennessee State
NKU,Northern Kentucky
Alaska Anchorage,?
E Washington,Eastern Washington
UTEP,Texas-El Paso
UTSA,Texas-San Antonio
N Arizona,Northern Arizona
N Colorado,Northern Colorado
Sacramento St,Sacramento State
Utah Valley,Utah Valley University
UNC Asheville,North Carolina-Asheville
Virginia Military,Virginia Military Institute
Charl Southern,Charleston Southern
VMI,Virginia Military Institute
Chaminade,?
UNC-Wilmington,North Carolina-Wilmington
Florida Atl,Florida Atlantic
FIU,Florida International
Texas A&M-CC,Texas A&M-Corpus Christi
St. Francis,St. Francis (PA)
UMKC,Missouri-Kansas City
Youngstown St,Youngstown State
LIU Brooklyn,Long Island
Cent Michigan,Central Michigan
E Michigan,Eastern Michigan
N Illinois,Northern Illinois
Florida A&M;,Florida A&M
North Carolina A&T;,North Carolina A&T
North Carolina Cent,North Carolina Central
Southern Carolina St,South Carolina State
Loyola (IL),Loyola (Chicago)
S Illinois,Southern Illinois
Cent Conn St,Central Connecticut State
Fair Dickinson,Fairleigh Dickinson
